price_mentions
0.7
"$4,800"
"$701,900 "
3.6
"$26,100"
202
1
3.6
202
4
202
2
17.6
"$149,700"
202
2 
3 
3
202
0 
50 
$600k
201
9
90
90
15
20
3 
4 
$1
1.4 
5
10 
$3 
201
6
50
3 
500 
000
90 
202
5 
"$712,200 "
0.04
$300
7
202
4
2.1
"$15,300"
202
4
202
5 
"$713,700"
9.3
"39,202 "
200
9
1 
7 
200
9
13.1
"86,953 "
45.1
11.1 
200
9
90
16 
101
400K
202
5 
200
8 
0.4
"$1,073,900"
1.8
7
"4,037 "
27.5
5.4
"12,066 "
34
40
8 
101
10 
101
10 
"73,000 "
3
3 
4
202
5 
202
4
202
5 
400K
20 
10
15 
120
0 
$1M
1.5M
10
100k
5
3 
3 
10 
10 
20 
25
5
20
20 
1
2 
5
40k
460
0
201
9
$180
0
15
30
200
15
15
20
30
200
300
1
2 
7
100
89
90
50
10
400K
201
5 
202
4
9 
8
44.1k
202
3 
43.6K
201
5 
1
1
40
201
4 
17
201
4
30
201
4 
202
4 
5
0
17
201
4 
$310
$555
2.08
1.85
201
5
$827
105
80
2.4 
202
4 
201
5 
$445
201
5
200
0 
45
30
202
5 
1 
4 
1 
4 
28
39
36
25
22
2 
5 
44
905 
33
3 
1 
4 
26
16
15
1 
7 
2 
5 
39
10 
10 
30
27
1 
4 
2 
5 
42
18 
24 
25 
54 
32
35
1 
4 
25
55 
64 
13
65
10 
$300k
$1.2 
4 
200
0
198
0
30 
10 
202
5 
200
8 
2.5
202
1
1 
11 
1 
10 
30
3
10
202
5 
5
1 
202
4
202
2
"$130,000"
202
5 
2
201
9
0.2
$6.2 
$3.04 
201
9
84
0.7
"$4,800"
"$701,900 "
3.6
202
2
9 M
1.1
9 
25
1.7 
10
33
202
5 
$1 
15 
90
$1.01 
5.4
$58.1k
$985.4k
4.5
$46.2k
$1 
23.3
"5,601 "
202
0
202
0
199
7
"18,836 "
8.1
29.7
27.4k
54.0
15 
65
8
0
5 
188
0
191
8 
1
3 
2
5
200
3
4 
$10k
200
8
200
9 
201
6 
$500
180 
3 M
4
5
4 
$500
600k
10
500 
"100,000 "
202
5 
